[Actuators @ factory.py:85][DEBUG] 2017-10-27 15:49:28,258: Logging to: logs/2017_Oct_27/Actuators/15_49_28.log
[Actuators @ arduino.py:76][INFO] 2017-10-27 15:49:28,567: configuring for the first time. whoiam=naboris actuators
[Actuators @ arduino.py:79][INFO] 2017-10-27 15:49:28,591: Found suitable addresses: '['/dev/ttyUSB0']'
[Actuators @ arduino.py:284][DEBUG] 2017-10-27 15:49:28,595: /dev/ttyUSB0 is ready
[Actuators @ arduino.py:353][DEBUG] 2017-10-27 15:49:30,188: Checking 'whoareyou' protocol
[Actuators @ arduino.py:397][DEBUG] 2017-10-27 15:49:31,389: Writing 'whoareyou' again
[Actuators @ arduino.py:397][DEBUG] 2017-10-27 15:49:31,989: Writing 'whoareyou' again
[Actuators @ arduino.py:387][DEBUG] 2017-10-27 15:49:32,024: received packet: 'iamnaboris actuators'
[Actuators @ arduino.py:316][DEBUG] 2017-10-27 15:49:32,025: Found ID 'naboris actuators'
[Actuators @ arduino.py:353][DEBUG] 2017-10-27 15:49:32,026: Checking 'init?' protocol
[Actuators @ arduino.py:387][DEBUG] 2017-10-27 15:49:32,323: received packet: 'init:24\t20\t1\t4800\t5000\t9990\t100\t0\t10'
[Actuators @ arduino.py:338][DEBUG] 2017-10-27 15:49:32,324: sent initialization data: '24\t20\t1\t4800\t5000\t9990\t100\t0\t10'
[Actuators @ arduino.py:136][INFO] 2017-10-27 15:49:32,324: address '/dev/ttyUSB0' has ID 'naboris actuators'
[Actuators @ arduino.py:86][INFO] 2017-10-27 15:49:32,325: configuring done. Finding whoiam=naboris actuators
[Actuators @ arduino.py:157][INFO] 2017-10-27 15:49:32,338: Device has started!
[Actuators @ actuators.py:71][INFO] 2017-10-27 15:49:32,346: Number of leds: 24
[Actuators @ arduino.py:196][DEBUG] 2017-10-27 15:49:32,361: Write queue not empty
[Actuators @ arduino.py:196][DEBUG] 2017-10-27 15:49:32,384: Write queue not empty
[Actuators @ arduino.py:196][DEBUG] 2017-10-27 15:49:32,471: Write queue not empty
[Actuators @ node.py:64][DEBUG] 2017-10-27 15:49:34,116: [log buffer start]
[DEBUG, 1509133772.3531399]: writing: o000015015015024
[DEBUG, 1509133772.35887]: writing: x
[DEBUG, 1509133772.3591244]: writing: b50505180
[DEBUG, 1509133772.4604087]: writing: c090090
[DEBUG, 1509133772.4832897]: Bno055Message(t: 1509133772.4957623, pt: 1509133772.4832897, at: 2.236, n: 0, euler: (-0.001090830782496456, -0.001090830782496456, 6.283185307179586), mag: (-10.75, 0.25, 15.0625), gyro: (-0.0011, -0.0022, 0.0011), accel: (-0.61, 0.98, -0.01), linaccel: (-0.01, 0.01, 0.3), quat: (0.05, 0.03, 0.0, 1.0))
[DEBUG, 1509133772.5164013]: Bno055Message(t: 1509133772.5230815, pt: 1509133772.5164013, at: 2.271, n: 1, euler: (-0.09708393964218458, -0.05890486225480862, 6.283185307179586), mag: (-10.75, 0.25, -0.0625), gyro: (0.0, 0.0, -0.0011), accel: (-0.59, 0.98, 10.0), linaccel: (-0.01, 0.02, 0.26), quat: (0.05, 0.03, 0.0, 1.0))
[DEBUG, 1509133772.5593557]: Bno055Message(t: 1509133772.5630705, pt: 1509133772.5593557, at: 2.305, n: 2, euler: (-0.001090830782496456, -0.001090830782496456, 6.283185307179586), mag: (-12.25, 1.375, 15.375), gyro: (0.0011, 0.0011, 0.0011), accel: (-0.59, 0.99, -0.01), linaccel: (0.0, 0.03, 0.15), quat: (0.05, -0.0, -0.0, 1.0))
[DEBUG, 1509133772.5814412]: Bno055Message(t: 1509133772.5925994, pt: 1509133772.5814412, at: 2.338, n: 3, euler: (-0.09708393964218458, -0.05890486225480862, 6.283185307179586), mag: (-11.875, 0.6875, 15.375), gyro: (0.0, -0.0011, -0.0011), accel: (-0.58, 0.98, 10.04), linaccel: (-0.03, 0.03, 0.31), quat: (0.05, -0.0, -0.0, 1.0))
[DEBUG, 1509133772.6252086]: Bno055Message(t: 1509133772.6321394, pt: 1509133772.6252086, at: 2.371, n: 4, euler: (-0.09708393964218458, -0.05890486225480862, 6.283185307179586), mag: (-11.875, 0.6875, -0.0625), gyro: (0.0, -0.0011, 0.0), accel: (-0.58, 0.96, 10.0), linaccel: (0.0, 0.0, 0.26), quat: (0.05, 0.03, 0.0, 1.0))
[DEBUG, 1509133772.6581192]: Bno055Message(t: 1509133772.6682854, pt: 1509133772.6581192, at: 2.405, n: 5, euler: (-0.001090830782496456, -0.001090830782496456, 6.283185307179586), mag: (-11.5625, 1.0625, 15.375), gyro: (0.0044, -0.0022, -0.0022), accel: (-0.6, 0.99, -0.01), linaccel: (-0.01, 0.03, 0.18), quat: (0.05, 0.03, 0.0, 1.0))
[DEBUG, 1509133772.6908624]: Bno055Message(t: 1509133772.6935368, pt: 1509133772.6908624, at: 2.439, n: 6, euler: (-0.09708393964218458, -0.05890486225480862, 6.283185307179586), mag: (-13.0625, 1.0625, 13.75), gyro: (-0.0022, 0.0033, 0.0), accel: (-0.6, 0.97, 10.01), linaccel: (-0.02, 0.01, 0.27), quat: (0.05, -0.0, -0.0, 1.0))
[DEBUG, 1509133772.713866]: Bno055Message(t: 1509133772.718772, pt: 1509133772.713866, at: 2.472, n: 7, euler: (-0.09708393964218458, -0.05890486225480862, 6.283185307179586), mag: (-13.0625, -0.0625, -0.0625), gyro: (-0.0011, 0.0011, 0.0), accel: (-0.56, 0.98, 10.04), linaccel: (0.01, 0.02, 0.29), quat: (0.05, 0.03, 0.0, 1.0))
[DEBUG, 1509133772.7601225]: Bno055Message(t: 1509133772.773088, pt: 1509133772.7601225, at: 2.505, n: 8, euler: (-0.001090830782496456, -0.001090830782496456, 6.283185307179586), mag: (-12.6875, 1.0625, 15.875), gyro: (0.0011, 0.0, -0.0022), accel: (-0.63, 1.0, -0.01), linaccel: (-0.05, 0.04, 0.14), quat: (0.05, -0.0, -0.0, 1.0))
[DEBUG, 1509133772.7829485]: Bno055Message(t: 1509133772.7869425, pt: 1509133772.7829485, at: 2.539, n: 9, euler: (-0.09708393964218458, -0.05890486225480862, 6.283185307179586), mag: (-12.25, 3.25, 15.375), gyro: (0.0, -0.0011, -0.0011), accel: (-0.58, 0.94, 9.98), linaccel: (-0.04, 0.05, 0.29), quat: (0.05, -0.0, -0.0, 1.0))
[DEBUG, 1509133772.826722]: Bno055Message(t: 1509133772.8352146, pt: 1509133772.826722, at: 2.573, n: 10, euler: (-0.09708393964218458, -0.05890486225480862, 6.283185307179586), mag: (-12.25, -0.0625, -0.0625), gyro: (-0.0011, -0.0011, 0.0011), accel: (-0.61, 0.96, 9.99), linaccel: (-0.03, 0.0, 0.25), quat: (0.05, 0.03, 0.0, 1.0))
