[Actuators @ factory.py:85][DEBUG] 2017-10-27 15:47:23,501: Logging to: logs/2017_Oct_27/Actuators/15_47_23.log
[Actuators @ arduino.py:76][INFO] 2017-10-27 15:47:23,810: configuring for the first time. whoiam=naboris actuators
[Actuators @ arduino.py:79][INFO] 2017-10-27 15:47:23,834: Found suitable addresses: '['/dev/ttyUSB0']'
[Actuators @ arduino.py:284][DEBUG] 2017-10-27 15:47:23,838: /dev/ttyUSB0 is ready
[Actuators @ arduino.py:353][DEBUG] 2017-10-27 15:47:25,430: Checking 'whoareyou' protocol
[Actuators @ arduino.py:397][DEBUG] 2017-10-27 15:47:26,632: Writing 'whoareyou' again
[Actuators @ arduino.py:397][DEBUG] 2017-10-27 15:47:27,232: Writing 'whoareyou' again
[Actuators @ arduino.py:387][DEBUG] 2017-10-27 15:47:27,270: received packet: 'iamnaboris actuators'
[Actuators @ arduino.py:316][DEBUG] 2017-10-27 15:47:27,270: Found ID 'naboris actuators'
[Actuators @ arduino.py:353][DEBUG] 2017-10-27 15:47:27,271: Checking 'init?' protocol
[Actuators @ arduino.py:387][DEBUG] 2017-10-27 15:47:27,569: received packet: 'init:24\t20\t1\t4800\t5000\t9990\t100\t0\t10'
[Actuators @ arduino.py:338][DEBUG] 2017-10-27 15:47:27,570: sent initialization data: '24\t20\t1\t4800\t5000\t9990\t100\t0\t10'
[Actuators @ arduino.py:136][INFO] 2017-10-27 15:47:27,571: address '/dev/ttyUSB0' has ID 'naboris actuators'
[Actuators @ arduino.py:86][INFO] 2017-10-27 15:47:27,572: configuring done. Finding whoiam=naboris actuators
[Actuators @ arduino.py:157][INFO] 2017-10-27 15:47:27,587: Device has started!
[Actuators @ actuators.py:71][INFO] 2017-10-27 15:47:27,596: Number of leds: 24
[Actuators @ arduino.py:196][DEBUG] 2017-10-27 15:47:27,621: Write queue not empty
[Actuators @ arduino.py:196][DEBUG] 2017-10-27 15:47:27,720: Write queue not empty
[Actuators @ node.py:64][DEBUG] 2017-10-27 15:47:29,419: [log buffer start]
[DEBUG, 1509133647.6081243]: writing: o000015015015024
[DEBUG, 1509133647.6115181]: writing: x
[DEBUG, 1509133647.6119204]: writing: b50505180
[DEBUG, 1509133647.7137258]: writing: c090090
[DEBUG, 1509133647.7319527]: Bno055Message(t: 1509133647.7408407, pt: 1509133647.7319527, at: 2.242, n: 0, euler: (-0.09490227807719166, -0.06217735460229799, 6.28209447639709), mag: (-11.5625, -0.375, 12.5625), gyro: (0.0, 0.0022, 0.0011), accel: (-0.63, 0.95, -0.01), linaccel: (-0.02, 0.02, 0.28), quat: (0.05, 0.03, 0.0, 1.0))
[DEBUG, 1509133647.7762516]: Bno055Message(t: 1509133647.7778354, pt: 1509133647.7762516, at: 2.278, n: 1, euler: (-0.09490227807719166, -0.06217735460229799, 6.28209447639709), mag: (-11.5625, -0.375, 12.5625), gyro: (0.0011, -0.0011, -0.0022), accel: (-0.62, 0.94, 9.97), linaccel: (-0.01, 0.02, 0.29), quat: (0.05, -0.0, -0.0, 1.0))
[DEBUG, 1509133647.798127]: Bno055Message(t: 1509133647.8013911, pt: 1509133647.798127, at: 2.312, n: 2, euler: (-0.09490227807719166, -0.06217735460229799, 6.28209447639709), mag: (-11.1875, -0.375, 14.1875), gyro: (0.0011, 0.0022, -0.0011), accel: (-0.62, 0.96, -0.01), linaccel: (-0.01, 0.02, 0.18), quat: (0.05, 0.03, 0.0, 1.0))
[DEBUG, 1509133647.8419473]: Bno055Message(t: 1509133647.8550816, pt: 1509133647.8419473, at: 2.347, n: 3, euler: (-0.001090830782496456, -0.001090830782496456, 6.28209447639709), mag: (-10.375, -1.0625, 14.5625), gyro: (-0.0011, 0.0022, 0.0011), accel: (-0.61, 0.97, -0.01), linaccel: (-0.02, 0.01, 0.16), quat: (0.05, -0.0, -0.0, 1.0))
[DEBUG, 1509133647.8749163]: Bno055Message(t: 1509133647.8799987, pt: 1509133647.8749163, at: 2.381, n: 4, euler: (-0.09490227807719166, -0.06217735460229799, 6.28209447639709), mag: (-10.375, -1.0625, 14.5625), gyro: (-0.0011, 0.0, 0.0), accel: (-0.6, 0.97, 10.02), linaccel: (0.0, 0.03, 0.28), quat: (0.05, 0.03, 0.0, 1.0))
[DEBUG, 1509133647.9084196]: Bno055Message(t: 1509133647.9214873, pt: 1509133647.9084196, at: 2.416, n: 5, euler: (-0.001090830782496456, -0.001090830782496456, 6.28209447639709), mag: (-10.75, 0.6875, 14.5625), gyro: (0.0, 0.0, 0.0011), accel: (-0.61, 0.98, -0.01), linaccel: (0.0, 0.03, 0.28), quat: (0.05, -0.0, -0.0, 1.0))
[DEBUG, 1509133647.9416652]: Bno055Message(t: 1509133647.9458964, pt: 1509133647.9416652, at: 2.449, n: 6, euler: (-0.09490227807719166, -0.06217735460229799, 6.28209447639709), mag: (-11.1875, -0.75, 15.0), gyro: (-0.0011, 0.0011, 0.0011), accel: (-0.61, 0.95, 9.91), linaccel: (0.0, 0.02, 0.16), quat: (0.05, -0.0, -0.0, 1.0))
[DEBUG, 1509133647.9750502]: Bno055Message(t: 1509133647.9803965, pt: 1509133647.9750502, at: 2.485, n: 7, euler: (-0.09490227807719166, -0.06217735460229799, 6.28209447639709), mag: (-11.1875, -0.75, 15.0), gyro: (0.0011, 0.0011, 0.0022), accel: (-0.62, 0.96, -0.01), linaccel: (-0.01, 0.02, 0.29), quat: (0.05, 0.03, 0.0, 1.0))
[DEBUG, 1509133648.0089417]: Bno055Message(t: 1509133648.0114522, pt: 1509133648.0089417, at: 2.52, n: 8, euler: (-0.09490227807719166, -0.06217735460229799, 6.28209447639709), mag: (-11.1875, 0.25, 14.1875), gyro: (-0.0011, 0.0011, 0.0), accel: (-0.63, 0.94, 10.01), linaccel: (-0.02, 0.01, 0.27), quat: (0.05, -0.0, -0.0, 1.0))
[DEBUG, 1509133648.044344]: Bno055Message(t: 1509133648.048835, pt: 1509133648.044344, at: 2.553, n: 9, euler: (-0.09490227807719166, -0.06217735460229799, 6.28209447639709), mag: (-10.75, -0.375, 14.1875), gyro: (-0.0011, 0.0011, 0.0), accel: (-0.62, 0.97, 9.92), linaccel: (-0.01, 0.03, 0.18), quat: (0.05, 0.03, 0.0, 1.0))
[DEBUG, 1509133648.0782316]: Bno055Message(t: 1509133648.0884917, pt: 1509133648.0782316, at: 2.587, n: 10, euler: (-0.001090830782496456, -0.001090830782496456, 6.28209447639709), mag: (-10.375, -0.375, 13.75), gyro: (-0.0022, 0.0022, 0.0), accel: (-0.62, 0.97, -0.01), linaccel: (-0.02, 0.04, 0.25), quat: (0.05, 0.03, 0.0, 1.0))
