[Actuators @ factory.py:85][DEBUG] 2017-11-10 15:59:42,852: Logging to: logs/2017_Nov_10/Actuators/15_59_42.log
[Actuators @ arduino.py:78][INFO] 2017-11-10 15:59:43,145: configuring for the first time. whoiam=naboris actuators
[Actuators @ arduino.py:81][INFO] 2017-11-10 15:59:43,165: Found suitable addresses: '['/dev/ttyUSB0']'
[Actuators @ arduino.py:288][DEBUG] 2017-11-10 15:59:43,170: /dev/ttyUSB0 is ready
[Actuators @ arduino.py:357][DEBUG] 2017-11-10 15:59:44,762: Checking 'whoareyou' protocol
[Actuators @ arduino.py:401][DEBUG] 2017-11-10 15:59:45,963: Writing 'whoareyou' again
[Actuators @ arduino.py:401][DEBUG] 2017-11-10 15:59:46,563: Writing 'whoareyou' again
[Actuators @ arduino.py:391][DEBUG] 2017-11-10 15:59:46,592: received packet: 'iamnaboris actuators'
[Actuators @ arduino.py:320][DEBUG] 2017-11-10 15:59:46,594: Found ID 'naboris actuators'
[Actuators @ arduino.py:357][DEBUG] 2017-11-10 15:59:46,594: Checking 'init?' protocol
[Actuators @ arduino.py:391][DEBUG] 2017-11-10 15:59:46,901: received packet: 'init:0\t24'
[Actuators @ arduino.py:342][DEBUG] 2017-11-10 15:59:46,901: sent initialization data: '0\t24'
[Actuators @ arduino.py:138][INFO] 2017-11-10 15:59:46,902: address '/dev/ttyUSB0' has ID 'naboris actuators'
[Actuators @ arduino.py:88][INFO] 2017-11-10 15:59:46,902: configuring done. Finding whoiam=naboris actuators
[Actuators @ arduino.py:55][INFO] 2017-11-10 15:59:46,903: naboris actuators's setup complete
[Actuators @ actuators.py:119][INFO] 2017-11-10 15:59:46,923: Number of leds: 24
[Actuators @ arduino.py:159][INFO] 2017-11-10 15:59:46,952: Device has started!
[Actuators @ arduino.py:160][INFO] 2017-11-10 15:59:46,954: init packet: 0	24
[Actuators @ arduino.py:199][DEBUG] 2017-11-10 15:59:46,966: Write queue not empty
[Actuators @ arduino.py:199][DEBUG] 2017-11-10 15:59:47,051: Write queue not empty
[Actuators @ node.py:79][DEBUG] 2017-11-10 15:59:48,477: [log buffer start]
[DEBUG, 1510347586.9423761]: putting: o000015015015024
[DEBUG, 1510347586.9436357]: putting: x
[DEBUG, 1510347587.0469398]: putting: c090075
[DEBUG, 1510347587.1476882]: EncoderMessage(t: 1510347587.150465, n: 0, pt: 1510347587.1476882, et: 2.32, r: 0, l: 0, dr: 0.0, dl: 0.0)
[DEBUG, 1510347587.1476882]: EncoderMessage(t: 1510347587.1509228, n: 1, pt: 1510347587.1476882, et: 2.32, r: 0, l: 0, dr: 0.0, dl: 0.0)
[DEBUG, 1510347587.1476882]: Bno055Message(t: 1510347587.151183, pt: 1510347587.1476882, at: 2.321, n: 0, euler: (0.0, 0.0, 0.0), mag: (0.0, 0.0, 0.0), gyro: (0.0, 0.0, 0.0), accel: (0.0, 0.0, 0.0), linaccel: (0.0, 0.0, 0.0), quat: (0.0, 0.0, 0.0, 0.0))
[DEBUG, 1510347587.222123]: Bno055Message(t: 1510347587.151183, pt: 1510347587.222123, at: 2.349, n: 0, euler: (-0.08944812416470939, -0.04690572364734761, 0.0), mag: (5.5625, -0.375, 0.0), gyro: (-0.0022, 0.0044, 0.0), accel: (-0.47, 0.88, 10.0), linaccel: (-0.01, 0.01, 0.28), quat: (0.0, 0.0, 0.0, 0.0))
[DEBUG, 1510347587.222123]: Bno055Message(t: 1510347587.151183, pt: 1510347587.222123, at: 2.374, n: 0, euler: (-0.08944812416470939, -0.04690572364734761, 0.0), mag: (5.5625, -0.75, 39.0), gyro: (0.0011, 0.0, 0.0011), accel: (-0.48, 0.91, -0.01), linaccel: (-0.02, 0.03, 0.3), quat: (-0.0001, -0.0001, -0.0001, 0.0))
[DEBUG, 1510347587.222123]: Bno055Message(t: 1510347587.151183, pt: 1510347587.222123, at: 2.401, n: 0, euler: (-0.001090830782496456, -0.001090830782496456, 0.0), mag: (5.5625, -0.0625, -0.0625), gyro: (0.0, 0.0022, 0.0), accel: (-0.46, 0.88, 10.01), linaccel: (-0.02, 0.03, 0.26), quat: (0.0451, 0.0236, 0.0, 0.0))
[DEBUG, 1510347587.2963543]: Bno055Message(t: 1510347587.151183, pt: 1510347587.2963543, at: 2.426, n: 0, euler: (-0.08944812416470939, -0.04690572364734761, 0.0), mag: (5.5625, -1.5, 39.0), gyro: (0.0011, 0.0022, -0.0011), accel: (-0.46, 0.89, -0.01), linaccel: (0.0, 0.0, 0.14), quat: (-0.0001, -0.0001, -0.0001, 0.0))
[DEBUG, 1510347587.2963543]: Bno055Message(t: 1510347587.151183, pt: 1510347587.2963543, at: 2.451, n: 0, euler: (-0.001090830782496456, -0.001090830782496456, 0.0), mag: (6.375, -0.0625, -0.0625), gyro: (0.0011, -0.0011, -0.0011), accel: (-0.48, 0.9, 10.0), linaccel: (-0.02, 0.0, 0.25), quat: (0.0451, 0.0236, 0.0, 0.0))
[DEBUG, 1510347587.2963543]: Bno055Message(t: 1510347587.151183, pt: 1510347587.2963543, at: 2.478, n: 0, euler: (-0.08944812416470939, -0.04690572364734761, 0.0), mag: (6.375, -1.0625, 40.5625), gyro: (0.0, 0.0, 0.0011), accel: (-0.48, 0.88, -0.01), linaccel: (-0.03, 0.0, 0.19), quat: (0.0451, 0.0236, 0.0, 0.0))
[DEBUG, 1510347587.350955]: Bno055Message(t: 1510347587.151183, pt: 1510347587.350955, at: 2.501, n: 0, euler: (-0.001090830782496456, -0.001090830782496456, 0.0), mag: (6.0, -0.0625, -0.0625), gyro: (0.0022, 0.0011, 0.0022), accel: (-0.45, 0.9, 10.01), linaccel: (0.0, 0.01, 0.25), quat: (0.0451, 0.0236, 0.0, 0.0))
[DEBUG, 1510347587.350955]: Bno055Message(t: 1510347587.151183, pt: 1510347587.350955, at: 2.527, n: 0, euler: (-0.08944812416470939, -0.04690572364734761, 0.0), mag: (6.0, -0.75, 40.1875), gyro: (0.0, -0.0011, -0.0011), accel: (-0.46, 0.9, -0.01), linaccel: (0.03, 0.01, 0.17), quat: (0.0451, 0.0236, 0.0, 0.0))
[DEBUG, 1510347587.4259417]: Bno055Message(t: 1510347587.151183, pt: 1510347587.4259417, at: 2.55, n: 0, euler: (-0.08944812416470939, -0.04690572364734761, 0.0), mag: (6.0, -0.0625, -0.0625), gyro: (-0.0022, -0.0011, -0.0022), accel: (-0.5, 0.87, 10.02), linaccel: (-0.04, 0.0, 0.27), quat: (0.0451, 0.0236, 0.0, 0.0))
[DEBUG, 1510347587.4259417]: Bno055Message(t: 1510347587.151183, pt: 1510347587.4259417, at: 2.575, n: 0, euler: (-0.08944812416470939, -0.04690572364734761, 0.0), mag: (6.0, -1.5, 39.75), gyro: (-0.0011, -0.0022, -0.0022), accel: (-0.39, 0.85, -0.01), linaccel: (0.06, -0.01, -0.01), quat: (-0.0001, -0.0001, -0.0001, 0.0))
[DEBUG, 1510347587.4259417]: Bno055Message(t: 1510347587.151183, pt: 1510347587.4259417, at: 2.599, n: 0, euler: (-0.08944812416470939, -0.04690572364734761, 0.0), mag: (6.0, -0.0625, -0.0625), gyro: (-0.0011, -0.0011, -0.0011), accel: (-0.52, 0.85, 9.94), linaccel: (0.0, 0.0, 0.29), quat: (0.0451, 0.0236, 0.0, 0.0))
[DEBUG, 1510347587.5224273]: Bno055Message(t: 1510347587.151183, pt: 1510347587.5224273, at: 2.625, n: 0, euler: (-0.08944812416470939, -0.04690572364734761, 0.0), mag: (6.0, -1.5, 39.75), gyro: (0.0, -0.0033, 0.0022), accel: (-0.52, 0.9, -0.01), linaccel: (0.0, 0.01, 0.29), quat: (-0.0001, -0.0001, -0.0001, 0.0))
[DEBUG, 1510347587.5224273]: Bno055Message(t: 1510347587.151183, pt: 1510347587.5224273, at: 2.649, n: 0, euler: (-0.08944812416470939, -0.04690572364734761, 0.0), mag: (6.0, -1.5, 39.75), gyro: (-0.0011, -0.0033, 0.0011), accel: (-0.49, 0.88, 10.03), linaccel: (-0.03, 0.0, 0.27), quat: (0.0451, 0.0236, 0.0, 0.0))
[DEBUG, 1510347587.5224273]: Bno055Message(t: 1510347587.151183, pt: 1510347587.5224273, at: 2.673, n: 0, euler: (-0.001090830782496456, -0.001090830782496456, 0.0), mag: (6.0, -1.5, 39.75), gyro: (0.0011, -0.0033, 0.0), accel: (-0.43, 0.88, 10.07), linaccel: (0.02, 0.01, 0.31), quat: (-0.0001, -0.0001, -0.0001, 0.0))
[DEBUG, 1510347587.5224273]: Bno055Message(t: 1510347587.151183, pt: 1510347587.5224273, at: 2.7, n: 0, euler: (-0.08944812416470939, -0.04690572364734761, 0.0), mag: (6.375, -0.0625, -0.0625), gyro: (-0.0011, -0.0033, 0.0022), accel: (-0.47, 0.89, 9.97), linaccel: (0.04, 0.01, 0.27), quat: (0.0451, 0.0236, 0.0, 0.0))
[DEBUG, 1510347587.598355]: Bno055Message(t: 1510347587.151183, pt: 1510347587.598355, at: 2.726, n: 0, euler: (-0.08944812416470939, -0.04690572364734761, 0.0), mag: (6.375, -1.0625, 39.375), gyro: (0.0, -0.0011, 0.0), accel: (-0.48, 0.88, -0.01), linaccel: (-0.02, 0.0, 0.25), quat: (-0.0001, -0.0001, -0.0001, 0.0))
[DEBUG, 1510347587.598355]: Bno055Message(t: 1510347587.151183, pt: 1510347587.598355, at: 2.752, n: 0, euler: (-0.001090830782496456, -0.001090830782496456, 0.0), mag: (6.0, -0.0625, -0.0625), gyro: (-0.0022, 0.0011, 0.0011), accel: (-0.56, 0.92, 10.02), linaccel: (-0.09, 0.04, 0.26), quat: (0.0451, 0.0236, 0.0, 0.0))
[DEBUG, 1510347587.598355]: Bno055Message(t: 1510347587.151183, pt: 1510347587.598355, at: 2.78, n: 0, euler: (-0.08944812416470939, -0.04690572364734761, 0.0), mag: (6.0, -1.5, 39.375), gyro: (-0.0033, -0.0022, 0.0011), accel: (-0.36, 0.8, -0.01), linaccel: (0.02, 0.04, 0.18), quat: (0.0451, 0.0236, 0.0, 0.0))
[DEBUG, 1510347587.6312227]: Bno055Message(t: 1510347587.151183, pt: 1510347587.6312227, at: 2.804, n: 0, euler: (-0.001090830782496456, -0.001090830782496456, 0.0), mag: (6.375, -1.5, 39.375), gyro: (0.0, -0.0011, -0.0011), accel: (-0.45, 0.91, 10.05), linaccel: (0.0, 0.03, 0.29), quat: (-0.0001, -0.0001, -0.0001, 0.0))
[DEBUG, 1510347587.7058964]: Bno055Message(t: 1510347587.151183, pt: 1510347587.7058964, at: 2.834, n: 0, euler: (-0.001090830782496456, -0.001090830782496456, 0.0), mag: (6.375, -0.0625, -0.0625), gyro: (0.0011, 0.0, 0.0033), accel: (-0.44, 0.87, 9.9), linaccel: (0.02, -0.01, 0.15), quat: (0.0451, 0.0236, 0.0, 0.0))
[DEBUG, 1510347587.7058964]: Bno055Message(t: 1510347587.151183, pt: 1510347587.7058964, at: 2.859, n: 0, euler: (-0.08944812416470939, -0.04690572364734761, 0.0), mag: (6.375, -1.0625, 39.75), gyro: (0.0, 0.0011, 0.0011), accel: (-0.51, 0.92, -0.01), linaccel: (-0.02, -0.01, 0.29), quat: (0.0451, 0.0236, 0.0, 0.0))
